U+3400 qiu1
U+3401 tian4
U+3404 kua4
U+3405 wu3
U+3406 yin3
U+340C yi2
U+3416 xie2
U+341C chou2
U+3421 nuo4
U+3424 dan1
U+3428 xu4
U+3429 xing2
U+342B xiong1
U+342C liu2
U+342D lin3
U+342E xiang1
U+342F yong1
U+3430 xin4
U+3431 zhen3
U+3432 dai4
U+3433 wu4
U+3434 pan1
U+3435 ru2
U+3437 ma3
U+3438 qian4
U+3439 yi4
U+343A yin2
U+343B nei4
U+343C cheng4
U+343D feng1
U+3441 zhuo1
U+3442 fang3
U+3443 ao3
U+3444 wu3
U+3445 zuo4
U+3447 zhou4
U+3448 dong4
U+3449 su4
U+344A yi4
U+344B qiong2
U+344C kuang1
U+344D lei4
U+344E nao3
U+344F zhu4
U+3450 shu1
U+3454 xu3
U+3457 shen1
U+3458 jie4
U+3459 die2
U+345A nuo2
U+345B su4
U+345C yi4
U+345D long4
U+345E ying4
U+345F beng3
U+3463 lan2
U+3464 miao2
U+3465 yi4
U+3466 li4
U+3467 ji4
U+3468 yu3
U+3469 luo2
U+346A chai2
U+346E hun2
U+346F xu3
U+3470 hui4
U+3471 rao3
U+3473 zhou4
U+3475 han4
U+3476 xi4
U+3477 tai4
U+3478 yao2
U+3479 hui4
U+347A jun4
U+347B ma4
U+347C lve4
U+347D tang2
U+347E yao2
U+347F zhao4
U+3480 zhai1
U+3481 yu3
U+3482 zhuo2
U+3483 er4
U+3484 ran3
U+3485 qi3
U+3486 chi4
U+3487 wu3
U+3488 han4
U+3489 tang3
U+348A se4
U+348B si1
U+348C qiong2
U+348D lei2
U+348E sa4
U+3491 kui3
U+3492 pu2
U+3493 ta4
U+3494 shu2
U+3495 yang1
U+3496 ou3
U+3497 tai2
U+3499 mian2
U+349A yin4
U+349B diao4
U+349C yu3
U+349D mie4
U+349E jun4
U+349F niao3
U+34A0 xie4
U+34A1 you2
U+34A4 che4
U+34A5 feng1
U+34A6 lei3
U+34A7 li4
U+34A9 luo3
U+34AB ji4
U+34B0 quan2
U+34B2 cai2
U+34B3 liang3
U+34B4 gu3
U+34B5 mao4
U+34B7 gua3
U+34B8 sui4
U+34BB mao4
U+34BC man2
U+34BD quan1
U+34BE shi4
U+34BF li2
U+34C1 wang3
U+34C2 kou4
U+34C3 du4
U+34C4 zhen4
U+34C5 ting1
U+34C8 bing4
U+34C9 huo4
U+34CA dong4
U+34CB gong4
U+34CC cheng1
U+34CE qin1
U+34CF jiong3
U+34D0 lu4
U+34D1 xing4
U+34D3 nan2
U+34D4 xie4
U+34D6 bi4
U+34D7 jie2
U+34D8 su4
U+34DA gong1
U+34DC you4
U+34DD xing2
U+34DE qia4
U+34DF pi2
U+34E0 dian4
U+34E1 fu3
U+34E2 luo4
U+34E3 qia4
U+34E4 qia4
U+34E5 tang1
U+34E6 bai1
U+34E7 gan1
U+34E8 ci2
U+34E9 xuan1
U+34EA lang3
U+34ED she2
U+34EE diao1
U+34EF li2
U+34F0 hua4
U+34F1 tou2
U+34F2 pian1
U+34F3 di1
U+34F4 ruan3
U+34F5 e4
U+34F6 qie4
U+34F7 yi4
U+34F8 zhuo1
U+34F9 rui4
U+34FA jian1
U+34FC chi4
U+34FD chong2
U+34FE xi1
U+3500 lve4
U+3501 deng1
U+3502 lin2
U+3503 jue2
U+3504 su4
U+3505 xiao4
U+3506 zan4
U+3509 zhu3
U+350A zhan3
U+350B jian1
U+350C zou4
U+350D chua1
U+350E xie4
U+350F li4
U+3511 chi4
U+3512 xi2
U+3513 jian3
U+3515 ji2
U+3517 fei4
U+3518 chu4
U+3519 beng1
U+351A jie2
U+351C ba2
U+351D liang3
U+351E kuai4
U+3520 xia1
U+3521 bie1
U+3522 jue2
U+3523 lei2
U+3524 xin4
U+3525 bai4
U+3526 yang3
U+3527 lv4
U+3528 bei4
U+3529 e4
U+352A lu3
U+352D che4
U+352E nuo2
U+352F xuan2
U+3530 heng2
U+3531 yu3
U+3533 gui3
U+3534 yi4
U+3535 xuan3
U+3536 gong4
U+3537 lou4
U+3538 ti1
U+3539 le4
U+353A shi4
U+353C sun3
U+353D yao4
U+353E xian1
U+353F zou4
U+3541 que4
U+3542 yin2
U+3543 xi1
U+3544 zhi3
U+3545 jia2
U+3546 hu4
U+3547 la1
U+3548 yi3
U+3549 ke4
U+354A fu1
U+354B qin2
U+354C ai4
U+354E ke4
U+354F chu2
U+3550 xie3
U+3551 chu2
U+3552 wei1
U+3555 huan4
U+3556 su4
U+3557 you4
U+3559 jun4
U+355A zhao3
U+355B xu4
U+355C shi3
U+355E shua1
U+355F kui4
U+3560 shuang1
U+3561 he2
U+3562 gai4
U+3563 yan3
U+3564 qiu2
U+3565 shen1
U+3566 hua4
U+3567 xi1
U+3568 fan4
U+3569 pang4
U+356A dan3
U+356B fang3
U+356C gong1
U+356D ao1
U+356E fu3
U+356F ne4
U+3570 xue4
U+3571 you2
U+3572 hua2
U+3574 chen2
U+3575 guo2
U+3576 
U+3577 hua4
U+3578 li4
U+3579 fa2
U+357A xiao1
U+357B pou3
U+357D si4
U+3580 le4
U+3581 lin4
U+3582 yi4
U+3583 hou3
U+3585 xu4
U+3586 qu2
U+3587 er2
U+358A xun2
U+358F nie4
U+3590 wei3
U+3591 xie4
U+3592 ti2
U+3593 hong2
U+3594 tun3
U+3595 nie4
U+3596 nie4
U+3597 yin2
U+3598 zhen1
U+359E wai1
U+359F shou4
U+35A0 nuo4
U+35A1 ye4
U+35A2 qi2
U+35A3 tou4
U+35A4 han2
U+35A5 jun4
U+35A6 dong3
U+35A7 hun1
U+35A8 lu4
U+35A9 ju1
U+35AA huo4
U+35AB ling2
U+35AD tian3
U+35AE lun2
U+35B5 ge2
U+35B6 yan1
U+35B7 shi2
U+35B8 xue2
U+35B9 pen1
U+35BA chun3
U+35BB niu2
U+35BC duo3
U+35BD ze2
U+35BE e4
U+35BF xie2
U+35C0 you1
U+35C1 e4
U+35C2 sheng3
U+35C3 wen3
U+35C4 ku1
U+35C5 hu2
U+35C6 ge2
U+35C7 xia2
U+35C8 man4
U+35C9 lve4
U+35CA ji2
U+35CB hou2
U+35CC zhi4
U+35CF wai1
U+35D1 
U+35D2 ai4
U+35D3 zhui1
U+35D4 qian1
U+35D5 gou4
U+35D6 dan4
U+35D7 bei1
U+35D8 bo2
U+35D9 chu1
U+35DA li4
U+35DB xiao4
U+35DC xiu4
U+35E2 hong2
U+35E3 ti4
U+35E4 cu4
U+35E5 kuo4
U+35E6 lao2
U+35E7 zhi4
U+35E8 xie1
U+35E9 xi1
U+35EB qie4
U+35EC zha1
U+35ED xi1
U+35F0 cong2
U+35F1 ji2
U+35F2 huo4
U+35F3 ta3
U+35F4 yan2
U+35F5 xu4
U+35F6 po1
U+35F7 sai3
U+35FB guo1
U+35FC ye4
U+35FD xiang3
U+35FE xue1
U+35FF he2
U+3600 zuo4
U+3601 yi4
U+3602 ci2
U+3604 leng1
U+3605 xian2
U+3606 tai3
U+3607 rong2
U+3608 yi4
U+3609 zhi4
U+360A xi1
U+360B xian2
U+360C ju4
U+360D ji2
U+360E han3
U+3610 pao4
U+3611 li4
U+3613 lan2
U+3614 sai3
U+3615 han3
U+3616 yan2
U+3617 qu1
U+3619 yan2
U+361A han3
U+361B kan1
U+361C chi3
U+361D nie4
U+361E huo4
U+3620 bi4
U+3621 xia2
U+3622 weng3
U+3623 xuan2
U+3624 wan1
U+3625 you2
U+3626 qin2
U+3627 xu4
U+3628 nie4
U+3629 bi4
U+362A hao4
U+362B jing3
U+362C ao4
U+362D ao4
U+3630 zhen1
U+3631 tan1
U+3632 ju2
U+3634 zuo4
U+3635 bu4
U+3636 jie2
U+3637 ai4
U+3638 zang4
U+3639 ci2
U+363A fa2
U+363F nie4
U+3640 liu4
U+3641 mei2
U+3642 dui4
U+3643 bang1
U+3644 bi4
U+3645 bao3
U+3647 chu4
U+3648 xia4
U+3649 tian3
U+364A chang2
U+364D duo1
U+364E wei1
U+364F fu4
U+3650 duo3
U+3651 yu3
U+3652 ye3
U+3653 kui2
U+3654 wei3
U+3655 kuai4
U+3657 wei1
U+3658 yao1
U+3659 long3
U+365A xing1
U+365B bu3
U+365C chi2
U+365D xie2
U+365E nie4
U+365F lang3
U+3660 yi1
U+3661 zong1
U+3662 man2
U+3663 zhang4
U+3664 xia4
U+3665 gun4
U+3666 xie2
U+3668 ji4
U+3669 liao2
U+366A yi4
U+366B ji2
U+366C yin2
U+366E da1
U+366F yi4
U+3670 xie4
U+3671 hao4
U+3672 yong3
U+3673 kan3
U+3674 chan4
U+3675 tai2
U+3676 tang2
U+3677 zhi2
U+3678 bao4
U+3679 meng2
U+367A kui2
U+367B chan2
U+367C lei3
U+367E xi4
U+3680 xi1
U+3681 qiao4
U+3682 nang4
U+3683 yun1
U+3685 long2
U+3686 fu4
U+3687 zong1
U+3689 gu3
U+368A kai1
U+368B diao1
U+368C hua4
U+368D kui3
U+368F gao3
U+3690 tao4
U+3692 shan3
U+3693 lai3
U+3694 nie4
U+3695 fu2
U+3696 gao3
U+3697 qie2
U+3698 ban4
U+3699 jia1
U+369A kong1
U+369B xi4
U+369C yu4
U+369D zhui1
U+369E shen3
U+369F chuo4
U+36A0 xiao1
U+36A1 ji3
U+36A2 nu2
U+36A3 xiao2
U+36A4 yi4
U+36A5 yu2
U+36A6 yi2
U+36A7 yan3
U+36A8 shen3
U+36A9 ran3
U+36AA hao4
U+36AB sa4
U+36AC jun1
U+36AD you2
U+36AF xin2
U+36B0 pei1
U+36B1 qiu1
U+36B2 chan1
U+36B4 bu4
U+36B5 dong1
U+36B6 si4
U+36B7 er3
U+36B9 mao3
U+36BA yun4
U+36BB ji1
U+36BD qiao3
U+36BE xiong1
U+36BF pao2
U+36C0 chu2
U+36C1 peng1
U+36C2 nuo3
U+36C3 jie2
U+36C4 yi1
U+36C5 er4
U+36C6 duo4
U+36CA duo3
U+36CD qie4
U+36CE lv3
U+36CF qiu2
U+36D0 sou3
U+36D1 can4
U+36D2 dou4
U+36D3 xi1
U+36D4 feng1
U+36D5 yi4
U+36D6 suo1
U+36D7 qie1
U+36D8 po4
U+36D9 xin1
U+36DA tong3
U+36DB xin4
U+36DC you2
U+36DD bei4
U+36DE long4
U+36E3 yun2
U+36E4 li2
U+36E5 ta4
U+36E6 lan3
U+36E7 man3
U+36E8 qiang3
U+36E9 zhou2
U+36EA yan4
U+36EB xi1
U+36EC lu4
U+36ED xi1
U+36EE sao3
U+36EF fan4
U+36F1 wei3
U+36F2 fa4
U+36F3 yi4
U+36F4 nao3
U+36F5 cheng1
U+36F6 tan4
U+36F7 ji1
U+36F8 shu4
U+36F9 pian2
U+36FA an1
U+36FB kua1
U+36FC cha1
U+36FE xian2
U+36FF zhi4
U+3702 feng1
U+3703 lian4
U+3704 xun2
U+3705 xu4
U+3706 mi4
U+3707 hui4
U+3708 mu4
U+3709 yong1
U+370A zhan3
U+370B yi4
U+370C nou3
U+370D tang2
U+370E xi1
U+370F yun2
U+3710 shu4
U+3711 fu2
U+3712 yi4
U+3713 da2
U+3715 lian2
U+3716 cao2
U+3717 can1
U+3718 ju4
U+3719 lu4
U+371A su4
U+371B nen4
U+371C ao4
U+371D an3
U+371E qian4
U+3720 cui1
U+3721 cong1
U+3723 ran2
U+3724 nian3
U+3725 mai2
U+3726 xin2
U+3727 yue4
U+3728 nai2
U+3729 ao4
U+372A shen1
U+372B ma4
U+372E lan4
U+372F xi1
U+3730 yue4
U+3731 zhi4
U+3732 weng3
U+3733 huai2
U+3734 meng4
U+3735 niao3
U+3736 wan3
U+3737 mi2
U+3738 nie4
U+3739 qu2
U+373A zan4
U+373B lian4
U+373C zhi2
U+373D zi3
U+373E hai2
U+373F xu4
U+3740 hao4
U+3741 xuan1
U+3742 zhi4
U+3743 mian3
U+3744 chun2
U+3745 gou4
U+3747 chun2
U+3748 luan2
U+3749 zhu4
U+374A shou3
U+374B liao3
U+374C jiu4
U+374D xie3
U+374E ding4
U+374F jie4
U+3750 rong2
U+3751 mang2
U+3753 ke4
U+3754 yao3
U+3755 ning2
U+3756 yi2
U+3757 lang2
U+3758 yong2
U+3759 yin2
U+375A yan2
U+375B su4
U+375D lin2
